,epoch,num_parameters,dim,rank,loss,accuracy,val_loss,val_accuracy
111,12,8070,10,-1,0.2842281758785248,0.9189500212669373,0.28083673119544983,0.9180999994277954
112,13,8070,10,-1,0.2746070623397827,0.9206500053405762,0.27923646569252014,0.9179999828338623
113,14,8070,10,-1,0.26595473289489746,0.9233333468437195,0.272891104221344,0.9200999736785889
114,15,8070,10,-1,0.25818127393722534,0.9255499839782715,0.2632029950618744,0.9229999780654907
115,16,8070,10,-1,0.2503993809223175,0.9283499717712402,0.25550732016563416,0.9261000156402588
116,17,8070,10,-1,0.24332253634929657,0.9298666715621948,0.2496381551027298,0.9272000193595886
117,18,8070,10,-1,0.23744797706604004,0.9315000176429749,0.2452242374420166,0.9283000230789185
118,19,8070,10,-1,0.23229409754276276,0.9328333139419556,0.24104821681976318,0.9294999837875366
119,20,8070,10,-1,0.22745636105537415,0.9350833296775818,0.251623272895813,0.9253000020980835
120,21,8070,10,-1,0.22365519404411316,0.9362000226974487,0.24793057143688202,0.9269000291824341
121,22,8070,10,-1,0.21971316635608673,0.9366666674613953,0.23630265891551971,0.9305999875068665
122,23,8070,10,-1,0.21630443632602692,0.937583327293396,0.23540256917476654,0.9320999979972839
123,24,8070,10,-1,0.2136036455631256,0.9388166666030884,0.23977243900299072,0.928600013256073
124,25,8070,10,-1,0.21069084107875824,0.9398000240325928,0.2332584708929062,0.9320999979972839
125,26,8070,10,-1,0.20839627087116241,0.9400500059127808,0.22787560522556305,0.9341999888420105
126,27,8070,10,-1,0.20607569813728333,0.9411666393280029,0.22980424761772156,0.9329000115394592
127,28,8070,10,-1,0.20383696258068085,0.942300021648407,0.22281935811042786,0.9351999759674072
128,29,8070,10,-1,0.2019445300102234,0.9420666694641113,0.2220870405435562,0.9348000288009644
129,30,8070,10,-1,0.20021112263202667,0.9427000284194946,0.22677332162857056,0.9341999888420105
130,31,8070,10,-1,0.19838203489780426,0.9432833194732666,0.22849562764167786,0.9308000206947327
131,32,8070,10,-1,0.19671662151813507,0.9437333345413208,0.22715255618095398,0.9304999709129333
132,33,8070,10,-1,0.19483935832977295,0.9445000290870667,0.21901185810565948,0.9354000091552734
133,34,8070,10,-1,0.19331003725528717,0.9446166753768921,0.22426460683345795,0.9343000054359436
134,35,8070,10,-1,0.19192175567150116,0.9453333616256714,0.21931083500385284,0.9359999895095825
