,epoch,rank1,rank2,acc,loss,val_acc,val_loss,layer_1_eff_rank,layer_3_eff_rank
9,9,10,10,0.4432199895381927,1.5499253273010254,0.4328999817371368,1.5892386436462402,2.2737105,2.0107527
10,10,10,10,0.446399986743927,1.5386191606521606,0.4450999796390533,1.5417288541793823,2.2748778,2.0197146
11,11,10,10,0.4505199790000915,1.5286526679992676,0.4520999789237976,1.5329610109329224,2.273582,2.0278313
12,12,10,10,0.4535599946975708,1.5203887224197388,0.4529999792575836,1.5136162042617798,2.2733302,2.033842
13,13,10,10,0.4567999839782715,1.5095981359481812,0.4417999982833862,1.5608452558517456,2.2717159,2.0390275
14,14,10,10,0.4592199921607971,1.503523588180542,0.460099995136261,1.5205211639404297,2.2708888,2.0437348
15,15,10,10,0.4621599912643432,1.4968163967132568,0.4438000023365021,1.5388760566711426,2.271122,2.0442636
16,16,10,10,0.4645600020885467,1.4893383979797363,0.4596999883651733,1.5115928649902344,2.2708254,2.0498354
17,17,10,10,0.4647800028324127,1.4842872619628906,0.4628999829292297,1.503805160522461,2.2702775,2.046988
18,18,10,10,0.4686999917030334,1.4778779745101929,0.4488999843597412,1.5311132669448853,2.269432,2.054599
19,19,10,10,0.4700199961662292,1.4744043350219729,0.4262999892234802,1.6056253910064695,2.2695787,2.0522873
20,20,10,10,0.4726399779319763,1.4680255651474,0.4556999802589416,1.5242878198623655,2.269446,2.0543435
21,21,10,10,0.4723199903964996,1.4667185544967651,0.4492999911308288,1.5309845209121704,2.2696793,2.057998
22,22,10,10,0.474260002374649,1.4614325761795044,0.4632000029087066,1.502617597579956,2.2697325,2.060245
23,23,10,10,0.4763199985027313,1.4584834575653076,0.4461999833583832,1.524748921394348,2.2694378,2.0637314
24,24,10,10,0.4780799746513366,1.4532276391983032,0.4651999771595001,1.5003482103347778,2.2697318,2.0631413
25,25,10,10,0.4782399833202362,1.4508875608444214,0.4504999816417694,1.556023120880127,2.2698045,2.0651488
26,26,10,10,0.4783200025558471,1.4475317001342771,0.4593999981880188,1.5034929513931274,2.2698765,2.064326
27,27,10,10,0.4801999926567077,1.4450812339782717,0.4562999904155731,1.529947280883789,2.2696872,2.066892
28,28,10,10,0.4836199879646301,1.439755082130432,0.469899982213974,1.4851062297821045,2.2695699,2.0674295
29,29,10,10,0.482479989528656,1.4388175010681152,0.465499997138977,1.4868133068084717,2.2691584,2.070868
30,30,10,10,0.4829199910163879,1.4368555545806885,0.4616999924182892,1.5196878910064695,2.270227,2.07214
31,31,10,10,0.4852999746799469,1.4337738752365112,0.4608999788761139,1.5282628536224363,2.2698326,2.0729156
32,32,10,10,0.4857399761676788,1.4296540021896362,0.4535000026226043,1.5341622829437256,2.2694716,2.0748317
33,33,10,10,0.4868399798870086,1.429020643234253,0.4700999855995178,1.481716275215149,2.2699797,2.0793664
34,34,10,10,0.4890599846839905,1.4255797863006592,0.4578000009059906,1.5126748085021973,2.2692332,2.0797691
35,35,10,10,0.48921999335289,1.420052409172058,0.4433999955654144,1.583785891532898,2.2689981,2.0818677
36,36,10,10,0.4914200007915497,1.4183708429336548,0.4596000015735626,1.5079693794250488,2.2693572,2.08505
37,37,10,10,0.4889400005340576,1.4175888299942017,0.4644999802112579,1.5020487308502195,2.2696698,2.083054
38,38,10,10,0.4926999807357788,1.415853500366211,0.4623999893665313,1.4942656755447388,2.2693183,2.08501
39,39,10,10,0.4922999739646911,1.4122387170791626,0.464599996805191,1.503262639045715,2.2689626,2.0852716
40,40,10,10,0.4923999905586242,1.41188383102417,0.4585999846458435,1.5084612369537354,2.269296,2.0868077
41,41,10,10,0.492139995098114,1.4092220067977903,0.4558999836444855,1.5248451232910156,2.269151,2.087947
42,42,10,10,0.4940199851989746,1.4075026512145996,0.4553999900817871,1.5199689865112305,2.269222,2.092185
43,43,10,10,0.4965799748897552,1.404885172843933,0.4676999747753143,1.4924527406692505,2.2691214,2.0908463
44,44,10,10,0.4968400001525879,1.402307152748108,0.4565999805927276,1.521377444267273,2.2691717,2.0931287
45,45,10,10,0.4971799850463867,1.4006249904632568,0.460999995470047,1.5104941129684448,2.2695005,2.0939736
46,46,10,10,0.4976199865341186,1.3991113901138306,0.4574999809265136,1.52580726146698,2.2697368,2.0924377
47,47,10,10,0.497899979352951,1.39652419090271,0.4427999854087829,1.561374545097351,2.269787,2.0936222
